loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
25000,25000,25000, 60 months,17.97,634.43,D,D1,Information technology ,7 years,RENT,53000,Verified,Dec-18,Current,n,debt_consolidation,12.64,0,Apr-12,0,,,3,0,26258,83.4,10,w,24476,24476,1231.42,1231.42,524,707.42,0,0,0,Feb-19,634.43,Mar-19,Feb-19,0,Individual,0,26258,0,0,1,1,11,0,,0,0,0,83,"31,500",83.36%,0,6,0,1,8753,,,0,0,80,79,55,11,0,,,,,0,0,3,0,0,6,3,4,3,3,0,0,0,1,100,,0,0,31500,26258,0,0
4000,4000,4000, 36 months,11.8,132.48,B,B4,,n/a,RENT,20000,Not Verified,Dec-18,Current,n,debt_consolidation,12.24,0,Sep-12,0,,,19,0,1045,3.9,28,w,3812.79,3812.79,261.03,261.03,187.21,73.82,0,0,0,Feb-19,132.48,Mar-19,Feb-19,0,Individual,500,4255,1,1,1,1,10,3210,80,4,8,646,14,"26,900",3.88%,1,0,2,9,224,13204,7,0,0,75,56,4,4,0,8,,10,,0,3,4,7,10,2,18,26,4,19,0,0,0,5,100,0,0,0,30900,4255,14200,4000
1250,1250,1250, 36 months,23.4,48.65,E,E1,BANKER,10+ years,RENT,52000,Source Verified,Dec-18,Current,n,other,9.9,0,Jan-11,2,,,7,0,8050,28.9,10,w,1201.07,1201.07,94.86,94.86,48.93,45.93,0,0,0,Feb-19,48.65,Mar-19,Dec-18,0,Individual,0,8050,1,0,0,0,53,0,,1,2,4356,29,"27,900",28.85%,1,0,2,2,1150,6483,54.3,0,0,53,95,2,2,0,2,,1,,0,4,7,4,6,1,7,9,7,7,0,0,0,1,100,0,0,0,27900,8050,14200,0
10400,10400,10400, 36 months,12.98,350.32,B,B5,Program Support Assistant ,10+ years,MORTGAGE,56099,Source Verified,Dec-18,Current,n,credit_card,20.92,0,Jul-13,2,32,67,8,1,1669,9.8,10,w,9921.77,9921.77,689.39,689.39,478.23,211.16,0,0,0,Feb-19,350.32,Mar-19,Feb-19,0,Individual,0,39564,4,2,1,2,1,37895,92,3,6,725,36,"17,000",9.82%,1,0,4,8,4946,15331,9.8,0,0,65,57,1,1,0,1,,0,32,0,3,3,6,6,3,6,7,3,8,0,0,0,4,90,0,1,0,60709,39564,17000,43709
7500,7500,7475, 36 months,11.8,248.4,B,B4,,n/a,MORTGAGE,32700,Not Verified,Dec-18,Current,n,debt_consolidation,28.26,0,Jul-05,0,,,8,0,7144,44.1,10,f,7148.98,7125.15,489.42,487.79,351.02,138.4,0,0,0,Feb-19,248.4,Mar-19,Feb-19,0,Individual,0,113541,1,3,1,1,6,27695,59,0,0,3157,55,"16,200",44.10%,1,0,2,1,14193,5056,58.6,0,0,161,146,29,6,2,29,,6,,0,3,3,3,3,4,4,4,3,8,0,0,0,1,100,66.7,0,0,160477,34839,12200,46648
7000,7000,6975, 36 months,10.72,228.25,B,B2,Business Analyst,< 1 year,MORTGAGE,97000,Source Verified,Dec-18,Current,n,other,33.17,0,Sep-11,1,,,18,0,1988,7.5,30,f,4838.45,4821.17,2238.38,2230.39,2161.55,76.83,0,0,0,Feb-19,244.63,Mar-19,Feb-19,0,Individual,0,589583,2,14,3,6,1,113133,59,0,1,1988,49,"26,600",7.47%,5,0,4,8,32755,19612,9.2,0,0,87,66,23,1,1,42,,1,,0,1,1,2,4,20,3,8,1,18,0,0,0,3,100,0,0,0,677593,115121,21600,160050
25000,25000,25000, 36 months,12.98,842.11,B,B5,,n/a,OWN,30000,Not Verified,Dec-18,Current,n,debt_consolidation,24.88,0,Aug-99,0,,,5,0,14231,23.8,12,w,23850.43,23850.43,1657.18,1657.18,1149.57,507.61,0,0,0,Feb-19,842.11,Mar-19,Feb-19,0,Individual,0,18729,0,1,0,2,17,4498,38,0,0,12843,26,"59,800",23.80%,2,1,0,2,3746,45569,23.8,0,0,174,232,87,17,0,87,,17,,0,3,3,4,5,6,4,6,3,5,0,0,0,0,100,25,0,0,71800,18729,59800,12000
8000,8000,8000, 36 months,11.8,264.96,B,B4,Program Manager,7 years,MORTGAGE,85000,Not Verified,Dec-18,Current,n,credit_card,23.61,0,Dec-91,1,,,11,0,29038,47.2,29,w,7625.58,7625.58,522.05,522.05,374.42,147.63,0,0,0,Feb-19,264.96,Mar-19,Feb-19,0,Individual,0,103435,0,3,0,1,22,74397,35,1,3,10929,44,"61,500",47.22%,1,0,1,4,10344,19302,57.8,0,0,123,324,9,9,0,9,,4,,0,5,7,5,8,18,8,11,7,11,0,0,0,1,100,60,0,0,151710,103435,45700,90210
9000,9000,9000, 36 months,10.33,291.81,B,B1,Millwright,4 years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,credit_card,13.14,0,Nov-07,2,57,,7,0,7871,31.1,15,w,8569.48,8569.48,575.87,575.87,430.52,145.35,0,0,0,Feb-19,291.81,Mar-19,Feb-19,0,Individual,0,97100,2,1,2,2,1,38553,,2,2,2958,31,"25,300",31.11%,2,2,4,4,13871,15929,33.1,0,0,133,121,10,1,1,10,,2,74,0,4,4,4,4,8,5,6,4,7,0,0,0,4,86.7,0,0,0,119853,46424,23800,38553
9600,9600,9600, 36 months,15.02,332.89,C,C3,Fuel truck driver,10+ years,OWN,60000,Not Verified,Dec-18,Current,n,debt_consolidation,32.64,1,Oct-07,1,17,,14,0,16424,73,32,w,9171.88,9171.88,653.76,653.76,428.12,225.64,0,0,0,Feb-19,332.89,Mar-19,Feb-19,0,Individual,0,65733,1,3,2,3,7,49309,88,4,4,8398,84,"22,500",73.00%,7,0,10,7,4695,3319,81.4,0,0,134,115,2,2,0,2,57,2,17,4,6,9,6,9,13,11,19,9,14,0,0,0,6,84.4,66.7,0,0,78661,65733,17800,56161
8000,8000,8000, 36 months,10.72,260.86,B,B2,Publications and Images Project Manager,10+ years,MORTGAGE,82923,Source Verified,Dec-18,Current,n,car,18.55,0,Jul-86,0,56,,11,0,16255,50.3,25,w,7619.52,7619.52,514.57,514.57,380.48,134.09,0,0,0,Feb-19,260.86,Mar-19,Feb-19,0,Individual,0,341504,1,3,0,2,15,55968,95,0,0,13624,79,"32,300",50.33%,0,1,4,3,34150,8676,61.1,0,0,143,141,25,3,2,37,71,0,71,4,1,4,2,3,12,6,10,4,11,0,0,0,1,80,50,0,0,360944,72223,22300,59007
12000,12000,12000, 36 months,16.14,422.72,C,C4,Trainer,6 years,RENT,24000,Source Verified,Dec-18,Current,n,credit_card,23.55,0,Nov-14,0,,,8,0,7188,50.3,12,w,11474.78,11474.78,829.3,829.3,525.22,304.08,0,0,0,Feb-19,422.72,Mar-19,Feb-19,0,Individual,0,16264,1,2,1,3,10,9076,76,2,2,1839,62,"14,300",50.27%,1,3,1,5,2033,361,91,0,0,42,49,3,3,0,3,,11,,0,2,6,2,2,4,6,8,6,8,0,0,0,3,100,100,0,0,26248,16264,4000,11948
20000,20000,20000, 36 months,13.56,679.29,C,C1,Armed Security officer,9 years,MORTGAGE,40000,Verified,Dec-18,Current,n,debt_consolidation,31.02,7,Apr-95,0,4,,16,0,17101,48,27,w,19088.3,19088.3,1335.98,1335.98,911.7,424.28,0,0,0,Feb-19,679.29,Mar-19,Dec-18,0,Individual,0,30051,0,2,0,1,21,12950,47,0,0,12330,48,"35,900",47.64%,0,0,1,1,1878,4520,71,0,0,56,284,59,21,1,60,9,9,4,0,5,14,3,7,2,14,25,8,16,,0,0,0,67,40,0,0,63645,30051,22600,27745
40000,40000,40000, 60 months,14.47,940.51,C,C2,,< 1 year,MORTGAGE,500000,Source Verified,Dec-18,Current,n,debt_consolidation,13.47,0,Jul-92,1,,,14,0,306893,84.1,27,w,39078.12,39078.12,1832.79,1832.79,921.88,910.91,0,0,0,Feb-19,940.51,Mar-19,Jan-19,0,Individual,0,813860,2,5,2,3,2,147101,51,0,0,39889,69,"349,200",87.88%,5,0,6,3,58133,8890,83.9,0,0,174,317,39,2,3,39,,3,,0,4,7,4,8,10,7,14,7,14,0,0,0,2,100,100,0,0,1197171,453994,89200,184971
14400,14400,14400, 60 months,14.47,338.59,C,C2,Director,3 years,RENT,110000,Not Verified,Dec-18,Current,n,debt_consolidation,10.83,1,Aug-06,1,21,106,5,1,20451,65.3,10,w,14068.11,14068.11,659.82,659.82,331.89,327.93,0,0,0,Feb-19,338.59,Mar-19,Feb-19,0,Individual,0,35067,1,1,1,1,3,14616,97,0,0,10885,76,"31,300",65.34%,0,3,1,1,7013,9460,55.6,0,0,59,148,60,3,1,77,,4,,1,2,3,3,3,3,4,6,3,5,0,0,1,1,90,33.3,1,0,46300,35067,21300,15000
22400,22400,22400, 36 months,8.81,710.34,A,A5,Manager,2 years,MORTGAGE,30000,Source Verified,Dec-18,Current,n,debt_consolidation,43.32,0,Oct-88,0,,,9,0,13929,41.7,17,w,21304.22,21304.22,1404.23,1404.23,1095.78,308.45,0,0,0,Feb-19,710.34,Mar-19,Feb-19,0,Joint App,0,210356,0,2,0,1,20,7476,39,1,2,5361,41,"33,400",41.70%,0,0,1,3,23373,8986,55.1,0,0,151,362,11,11,2,11,,11,,0,3,5,3,3,4,6,11,5,9,0,0,0,1,100,0,0,0,260635,21405,20000,19174
25000,25000,25000, 36 months,10.33,810.56,B,B1,Agent,2 years,OWN,78000,Not Verified,Dec-18,Current,n,debt_consolidation,25.67,0,Feb-05,0,,,15,0,23635,49,24,w,23804.17,23804.17,1599.6,1599.6,1195.83,403.77,0,0,0,Feb-19,810.56,Mar-19,Feb-19,0,Individual,0,41676,0,2,0,2,17,18041,72,0,1,6443,57,"48,200",49.04%,1,1,0,3,2778,8447,68.1,0,0,142,166,13,13,1,29,,13,,0,6,12,7,8,7,13,16,12,15,0,0,0,0,100,28.6,0,0,73350,41676,26500,25150
26000,26000,26000, 60 months,18.94,673.6,D,D2,Mortgage loan processor,10+ years,MORTGAGE,40000,Source Verified,Dec-18,Current,n,debt_consolidation,20.61,0,Aug-02,0,41,,3,0,1372,17.8,22,w,25469.38,25469.38,1306.16,1306.16,530.62,775.54,0,0,0,Feb-19,673.6,Mar-19,Feb-19,0,Individual,258,68591,0,1,1,2,9,21766,87,0,0,1372,71,"7,700",17.82%,1,0,0,2,22864,6328,17.8,0,0,61,189,56,9,1,56,41,17,41,0,1,1,1,12,7,1,14,1,3,0,0,0,1,90.9,0,0,0,105000,23138,7700,25000
25000,25000,25000, 60 months,15.02,595.02,C,C3,CFO ,10+ years,MORTGAGE,63500,Verified,Dec-18,Current,n,debt_consolidation,27.52,0,Oct-03,0,,60,7,1,7742,41,23,w,24432.26,24432.26,1158.75,1158.75,567.74,591.01,0,0,0,Feb-19,595.02,Mar-19,Feb-19,0,Joint App,0,85514,1,2,3,4,3,77772,93,1,3,3215,71,"18,900",40.96%,0,0,4,7,12216,9185,25.9,0,0,141,182,7,3,1,33,,11,,0,1,4,2,4,13,5,9,4,7,0,0,0,4,100,0,1,0,100078,85514,12400,81178
1000,1000,1000, 36 months,30.75,42.87,F,F5,,n/a,MORTGAGE,50000,Verified,Dec-18,Current,n,other,19.9,0,Apr-04,0,,,5,0,9833,99.3,12,w,965.07,965.07,83.18,83.18,34.93,48.25,0,0,0,Feb-19,42.87,Mar-19,Feb-19,0,Individual,0,184668,1,2,1,1,6,18397,65,1,1,4959,74,"9,900",99.32%,3,1,7,3,36934,67,99.3,0,0,140,173,9,6,3,9,,6,,0,2,2,2,4,4,2,5,2,5,0,0,0,2,100,100,0,0,199227,28230,9900,28489
2000,2000,2000, 36 months,8.19,62.85,A,A4,Laborer,4 years,MORTGAGE,100000,Not Verified,Dec-18,Current,n,credit_card,16.42,0,Aug-05,0,,,13,0,14865,46.9,23,w,1901.26,1901.26,124.34,124.34,98.74,25.6,0,0,0,Feb-19,62.85,Mar-19,Feb-19,0,Individual,0,192652,1,3,0,3,13,38838,70,2,5,4207,62,"31,700",46.89%,1,1,0,9,14819,9915,53.7,0,0,148,160,4,4,3,10,,17,,0,5,8,5,5,9,9,11,8,13,0,0,0,2,100,0,0,0,232306,53703,21400,55275
9000,9000,8975, 36 months,6.46,275.68,A,A1,Driver,10+ years,MORTGAGE,35000,Source Verified,Dec-18,Current,n,debt_consolidation,32.65,0,Apr-12,0,,,13,0,6385,15.6,15,f,8544.32,8520.58,546.52,545,455.68,90.84,0,0,0,Feb-19,275.68,Mar-19,Feb-19,0,Individual,0,53018,1,3,0,1,18,17874,43,2,4,1736,30,"40,800",15.65%,1,0,0,5,4078,27515,17.9,0,0,54,80,2,2,1,8,,18,,0,5,6,6,6,4,9,9,6,13,0,0,0,2,100,0,0,0,122237,24259,33500,41362
20000,20000,20000, 36 months,13.56,679.29,C,C1,Lead Transportation Security Officer,10+ years,MORTGAGE,98500,Source Verified,Dec-18,Current,n,debt_consolidation,9.06,0,Jun-07,1,,92,11,1,9382,19.3,12,w,19088.3,19088.3,1335.98,1335.98,911.7,424.28,0,0,0,Feb-19,679.29,Mar-19,Feb-19,0,Individual,0,22934,3,1,1,1,3,13552,97,2,5,4493,37,"48,700",19.26%,1,0,2,6,2085,30833,20.7,0,0,3,138,3,3,0,3,,3,,0,3,5,7,7,1,10,11,5,11,0,0,0,3,100,14.3,1,0,62740,22934,38900,14040
29450,29450,29450, 36 months,8.19,925.44,A,A4,General Manager,10+ years,MORTGAGE,161000,Source Verified,Dec-18,Current,n,debt_consolidation,10.99,0,Aug-90,0,42,,6,0,19313,70,18,w,27996.17,27996.17,1830.78,1830.78,1453.83,376.95,0,0,0,Feb-19,925.44,Mar-19,Feb-19,0,Individual,176,370187,0,2,0,2,13,24407,66,0,0,16771,68,"27,600",69.97%,3,0,0,2,61698,2287,89.4,0,0,129,340,96,13,4,118,42,13,42,0,2,2,2,3,8,3,6,2,6,0,0,0,0,94.4,50,0,0,436091,43720,21600,36789
34625,34625,34625, 60 months,16.14,844.6,C,C4,Vice President,10+ years,MORTGAGE,137500,Source Verified,Dec-18,Current,n,debt_consolidation,27.88,0,Dec-90,1,,,19,0,60229,61.5,31,w,34246.1,34246.1,813.56,813.56,378.9,434.66,0,0,0,Feb-19,860.13,Mar-19,Feb-19,0,Individual,0,333362,2,7,2,4,4,94118,78,0,0,23788,70,"98,000",61.46%,1,1,1,4,17545,22258,69.9,0,0,153,336,41,4,3,62,,6,,0,6,9,6,8,13,11,15,9,19,0,0,0,2,100,66.7,0,0,445453,154347,73900,137413
31450,31450,31450, 36 months,7.56,979.16,A,A3,Construction Manager,7 years,MORTGAGE,130000,Verified,Dec-18,Current,n,debt_consolidation,9.29,0,Jul-97,0,,,11,0,65911,63.1,17,w,29883.02,29883.02,1885.68,1885.68,1566.98,318.7,0,0,0,Feb-19,979.16,Mar-19,Feb-19,0,Joint App,0,422806,0,0,0,0,75,0,,0,0,18962,63,"104,400",63.13%,0,2,1,0,42281,29007,53.5,0,0,89,257,28,28,3,28,,11,,0,4,6,6,6,2,10,12,6,11,0,0,0,0,100,33.3,0,0,519900,65911,62400,0
15500,15500,15500, 36 months,10.72,505.4,B,B2,Administrative Assistant ,10+ years,RENT,52000,Not Verified,Dec-18,Current,n,credit_card,16.66,0,Oct-07,0,,,13,0,13496,33.9,16,w,14762.86,14762.86,996.95,996.95,737.14,259.81,0,0,0,Feb-19,505.4,Mar-19,Feb-19,1,Individual,349,19386,1,1,0,1,15,5890,59,3,4,6061,39,"39,800",33.91%,0,2,1,5,1491,14251,47.4,0,0,60,134,6,6,0,6,,11,,0,6,8,7,9,2,12,14,8,13,0,0,0,3,100,0,0,0,49742,19386,27100,9942
12000,12000,12000, 36 months,11.8,397.43,B,B4,Transportation Manager,10+ years,RENT,79365,Source Verified,Dec-18,Current,n,debt_consolidation,29.7,0,Sep-88,2,25,,20,0,4957,27.8,32,w,11438.39,11438.39,783.06,783.06,561.61,221.45,0,0,0,Feb-19,397.43,Mar-19,Feb-19,0,Individual,0,80734,6,8,4,6,2,75777,89,3,4,1070,78,"17,800",27.85%,2,0,4,10,4037,3973,40.7,0,0,107,363,1,1,0,24,,1,26,1,4,11,5,5,11,12,20,11,20,0,0,0,7,81.3,0,0,0,103047,80734,6700,85247
36000,36000,36000, 60 months,17.97,913.58,D,D1,Pharmacist,9 years,RENT,160000,Source Verified,Dec-18,Current,n,debt_consolidation,33.17,0,Sep-08,1,,,24,0,31228,40.7,30,w,35245.43,35245.43,1773.25,1773.25,754.57,1018.68,0,0,0,Feb-19,913.58,Mar-19,Feb-19,0,Individual,0,138100,2,14,2,3,6,105959,61,2,3,10979,54,"76,800",40.66%,2,0,3,6,5754,45572,40.7,0,0,123,74,3,3,0,3,,1,,0,7,7,9,9,18,9,11,7,24,0,0,0,4,100,22.2,0,0,259812,138100,76800,181515
30000,30000,30000, 36 months,16.14,1056.79,C,C4,Structural Engineer,7 years,MORTGAGE,116000,Source Verified,Dec-18,Current,n,debt_consolidation,28.21,1,Feb-99,1,9,,11,0,32317,84.4,38,w,28684.63,28684.63,2073.23,2073.23,1315.37,757.86,0,0,0,Feb-19,1056.79,Mar-19,Feb-19,0,Individual,0,402141,0,3,1,1,8,130534,60,0,1,7448,70,"38,300",84.38%,1,6,2,4,36558,5606,80.2,0,0,185,238,13,8,3,13,,0,,0,4,5,5,12,20,6,14,5,11,0,0,0,3,97.4,80,0,0,426202,199424,28300,145284
3000,3000,3000, 36 months,17.97,108.42,D,D1,IT Assistant,10+ years,RENT,50000,Source Verified,Dec-18,Current,n,debt_consolidation,30.03,0,Apr-07,2,,62,23,1,8271,27.2,56,w,2872.06,2872.06,212.35,212.35,127.94,84.41,0,0,0,Feb-19,108.42,Mar-19,Feb-19,0,Individual,0,31910,1,4,1,2,0,23639,63,0,5,4406,46,"30,400",27.21%,1,2,2,7,1450,13459,32.7,0,0,116,136,17,0,0,20,,0,,0,5,7,10,24,9,18,46,7,22,0,0,0,1,100,30,1,0,69552,31910,20000,37734
35000,35000,35000, 36 months,12.98,1178.96,B,B5,Anti Money Laundering Compliance Manager,2 years,RENT,112000,Source Verified,Dec-18,Current,n,debt_consolidation,15.55,0,Aug-04,1,,,10,0,57501,87.9,18,w,33390.59,33390.59,2320.06,2320.06,1609.41,710.65,0,0,0,Feb-19,1178.96,Mar-19,Feb-19,0,Individual,0,63497,1,1,0,1,19,5996,55,1,1,14302,83,"65,400",87.92%,0,0,1,2,7055,5737,89.9,0,0,19,172,4,4,0,66,,4,,0,6,8,7,13,1,9,17,8,10,0,0,0,1,100,100,0,0,76400,63497,56800,11000
26500,26500,26500, 60 months,11.31,580.28,B,B3,Compliance Director,10+ years,MORTGAGE,134000,Source Verified,Dec-18,Current,n,credit_card,18.91,0,Dec-06,2,,,17,0,43640,65.4,37,w,25835.85,25835.85,1135.58,1135.58,664.15,471.43,0,0,0,Feb-19,580.28,Mar-19,Feb-19,0,Individual,0,381100,3,3,2,2,4,64335,46,1,3,10115,58,"66,700",65.43%,2,1,7,6,22418,14577,70.4,0,0,114,144,3,3,4,22,,2,,0,8,10,9,10,7,13,26,10,17,0,0,0,4,100,66.7,0,0,430403,107975,49300,88875
4000,4000,4000, 36 months,23.4,155.68,E,E1,Security,3 years,RENT,90000,Source Verified,Dec-18,Current,n,debt_consolidation,26.33,0,Sep-06,4,59,,15,0,5199,19.2,20,w,3843.13,3843.13,303.56,303.56,156.87,146.69,0,0,0,Feb-19,155.68,Mar-19,Feb-19,0,Individual,0,66926,5,4,3,4,5,61727,86,6,11,1353,68,"27,100",19.18%,4,0,4,15,4462,20174,7.9,0,0,147,118,2,2,0,2,,0,,0,5,7,9,9,8,11,12,7,15,0,0,0,9,95,0,0,0,98655,66926,21900,71555
12000,12000,12000, 60 months,22.35,333.82,D,D5,Header operator ,< 1 year,OWN,65000,Source Verified,Dec-18,Current,n,credit_card,13.05,1,Mar-07,0,7,,10,0,9238,41.6,12,w,11777.31,11777.31,645.29,645.29,222.69,422.6,0,0,0,Feb-19,333.82,Mar-19,Feb-19,0,Individual,0,15481,3,2,1,1,6,6243,57,2,3,2055,47,"22,200",41.61%,0,2,1,4,1548,6491,36.4,0,0,141,75,4,4,0,4,,7,7,0,3,6,3,3,3,8,9,6,10,0,0,0,3,91.7,33.3,0,0,33200,15481,10200,11000
3000,3000,3000, 36 months,15.02,104.03,C,C3,Banker ,4 years,MORTGAGE,60000,Source Verified,Dec-18,Current,n,home_improvement,21.36,0,Oct-06,0,,,13,0,11026,49.7,20,w,2866.21,2866.21,204.3,204.3,133.79,70.51,0,0,0,Feb-19,104.03,Mar-19,Feb-19,0,Individual,0,376508,1,4,2,3,2,49048,97,1,1,3407,83,"22,200",49.67%,0,3,0,5,28962,5402,53,0,0,146,140,9,2,2,28,,,,0,4,7,4,6,7,8,11,7,13,0,0,0,3,95,25,0,0,400137,60074,11500,50524
8000,8000,8000, 36 months,14.47,275.26,C,C2,Warehouse Associates,4 years,RENT,42300,Not Verified,Dec-18,Current,n,credit_card,19.49,0,Jul-14,1,,,11,0,8284,21,14,w,7640.26,7640.26,540.87,540.87,359.74,181.13,0,0,0,Feb-19,275.26,Mar-19,Feb-19,0,Individual,0,21732,1,3,1,3,9,13448,64,3,5,4036,36,"39,400",21.03%,4,1,7,8,1976,23710,25.4,0,0,28,53,2,2,0,7,,0,,0,3,4,5,6,4,8,10,4,11,0,0,0,4,100,0,0,0,60362,21732,31800,20962
10250,10250,10250, 36 months,10.72,334.22,B,B2,Teacher,10+ years,MORTGAGE,96000,Not Verified,Dec-18,Current,n,debt_consolidation,8.31,0,May-05,0,45,,11,0,153,4.1,24,w,9762.53,9762.53,659.28,659.28,487.47,171.81,0,0,0,Feb-19,334.22,Mar-19,Feb-19,0,Individual,0,561293,1,8,1,6,5,196555,91,0,0,0,87,"3,700",4.14%,2,0,1,6,51027,700,0,0,0,157,145,34,5,1,135,,0,,2,0,1,1,4,13,2,10,1,11,0,0,0,1,87.5,0,0,0,506359,196708,700,172659
22400,22400,22400, 60 months,16.14,546.4,C,C4,Paramedic/ Fire Fighter,10+ years,OWN,56000,Source Verified,Dec-18,Current,n,credit_card,18.47,0,Dec-04,0,75,,15,0,13555,38.2,22,w,21906.46,21906.46,1062.67,1062.67,493.54,569.13,0,0,0,Feb-19,546.4,Mar-19,Feb-19,0,Individual,0,217072,0,3,1,1,7,18515,79,1,1,5789,55,"35,500",38.18%,1,0,4,2,14471,15054,46.6,0,0,113,168,7,7,5,36,,5,,0,5,7,8,8,5,11,12,7,15,0,0,0,2,95.5,25,0,0,253539,32070,28200,23364
27000,27000,27000, 60 months,15.02,642.62,C,C3,Supervisor ,10+ years,MORTGAGE,45000,Source Verified,Dec-18,Current,n,debt_consolidation,23.55,2,Oct-06,0,12,,11,0,12903,64.8,24,w,26387.86,26387.86,1251.44,1251.44,612.14,639.3,0,0,0,Feb-19,642.62,Mar-19,Feb-19,0,Individual,0,21902,0,1,0,0,42,8999,42,0,1,5787,53,"19,900",64.84%,0,1,0,1,1991,3225,78.1,0,0,144,146,17,17,1,17,33,,12,0,6,8,7,13,5,10,18,8,11,0,0,0,0,87.5,57.1,0,0,41500,21902,14700,21600
24000,24000,24000, 36 months,19.92,890.95,D,D3,overnight supervisor,7 years,RENT,30000,Verified,Dec-18,Current,n,credit_card,67.68,0,Jun-95,2,61,,14,0,14906,59.2,15,w,23006.72,23006.72,1742.06,1742.06,993.28,748.78,0,0,0,Feb-19,890.95,Mar-19,Feb-19,0,Joint App,0,67646,1,2,1,1,6,52740,80,2,5,3780,74,"25,200",59.15%,2,0,9,6,5204,6948,60.7,0,0,42,225,7,6,0,7,,2,,1,7,11,7,7,3,11,11,11,14,0,0,0,3,93.3,28.6,0,0,91348,67646,17700,66148
6500,6500,6500, 36 months,10.72,211.95,B,B2,Dealer ,< 1 year,RENT,50000,Not Verified,Dec-18,Current,n,debt_consolidation,24.29,0,Mar-14,2,,,8,0,5724,40.3,10,w,6190.86,6190.86,418.09,418.09,309.14,108.95,0,0,0,Feb-19,211.95,Mar-19,Feb-19,0,Individual,0,39496,0,1,1,2,7,33772,,1,2,1588,40,"14,200",40.31%,0,0,3,4,5642,3083,46.8,0,0,56,57,12,7,0,12,,4,,0,4,6,4,4,3,7,7,6,8,0,0,0,2,100,0,0,0,50022,39496,5800,35822
25000,25000,25000, 36 months,16.91,890.2,C,C5,OFFICE MANAGER,10+ years,RENT,95000,Source Verified,Dec-18,Current,n,debt_consolidation,13.78,0,Feb-03,0,,,7,0,28594,48.2,11,w,23920.39,23920.39,1745.17,1745.17,1079.61,665.56,0,0,0,Feb-19,890.2,Mar-19,Feb-19,0,Individual,0,56546,0,3,2,2,7,27952,70,0,1,10727,57,"59,300",48.22%,1,0,1,3,8078,30706,48.2,0,0,133,190,20,7,0,20,,7,,0,4,4,4,5,6,4,5,4,7,0,0,0,2,100,0,0,0,99381,56546,59300,40081
8000,8000,8000, 36 months,10.72,260.86,B,B2,Goldsmith,2 years,RENT,95000,Not Verified,Dec-18,Current,n,credit_card,10.47,0,Sep-02,2,,34,17,1,14156,35.9,34,w,7810.6,7810.6,258.48,258.48,189.4,69.08,0,0,0,Feb-19,265.63,Mar-19,Feb-19,0,Individual,0,25875,1,2,1,1,7,11719,73,6,11,3232,47,"39,400",35.93%,0,3,5,12,1522,1890,79.2,0,0,135,195,4,4,0,8,,4,,0,3,12,3,8,6,15,28,12,17,0,0,0,7,100,66.7,1,0,55400,25875,9100,16000
21000,21000,21000, 60 months,15.02,499.81,C,C3,Lpn,5 years,OWN,50000,Source Verified,Dec-18,Current,n,debt_consolidation,0,0,Aug-07,0,,11,5,3,0,0,17,w,20523.11,20523.11,973.34,973.34,476.89,496.45,0,0,0,Feb-19,499.81,Mar-19,Feb-19,0,Individual,0,16802,1,1,0,0,32,16802,84,2,3,0,75,"2,300",0.00%,3,0,2,3,3360,1000,0,0,0,126,136,3,3,0,19,,10,,0,0,0,1,3,6,4,11,0,5,0,0,0,2,100,0,3,0,22300,16802,1000,20000
